S,co,nested,biomass_025,biomass_50,biomass_975,stab_025,stab_50,stab_975
33,0.12672176308539945,0.6448565966175831,3.3781400215683797,4.76007954411777,7.912049262377528,-0.5301254567576956,-0.27641589281049517,-0.10047248701537137
50,0.1,0.6406973629632678,10.34420754809419,10.378719313980909,10.616399391975293,-0.007673921952971619,-0.0029703571591603896,-0.002037867860036045
44,0.11621900826446281,0.682227521488116,3.33805010420661,5.098980005382936,9.742624748293204,-0.6358073996005147,-0.339001095944077,-0.1623948763508801
29,0.09750297265160524,0.6469867351750966,3.4578051251002235,5.239768762110057,8.734463550765428,-0.49265139478050024,-0.2684534380736384,-0.12941598948534655
61,0.08438591776404192,0.6454270207941191,5.638367893292583,7.982257276952361,13.979775467957854,-0.5377971687949679,-0.3071547840131226,-0.16376102319152763
32,0.119140625,0.6662781610333425,4.580796281882764,5.0843972822210866,6.000075340606385,-0.003582824095556051,-0.002832178890726643,-0.0016758925756766728
22,0.11776859504132231,0.6236091221456156,1.7923625933428222,2.952970794326873,4.132954373268439,-0.4039000527217218,-0.2557071655779351,-0.14935152295252851
41,0.10053539559785842,0.6234405036138162,4.050324090682063,6.661199497833581,12.752744151601112,-0.6459356365860038,-0.33471349058605054,-0.1957133370188602
52,0.09134615384615384,0.6705658106713627,6.920791791203704,9.434967560050323,11.720250226743513,-0.40992654064640643,-0.23383066068417274,-0.08755972480944882
53,0.09683161267354931,0.6501863568890269,2.5184801683787255,4.4316486448778125,11.223087546896217,-0.6822022591915367,-0.3828061932506993,-0.1456322140438521
35,0.0963265306122449,0.6175715621282838,2.9539565755564476,6.062898986124185,12.56976903147455,-0.8053409961796234,-0.41470689271020583,-0.18101254182885862
32,0.1328125,0.7236780631345582,2.632895112439378,4.565912002413079,6.286907420416856,-0.5469207373932516,-0.28070615586188763,-0.08458229767399505
27,0.05761316872427984,0.6006805636541613,11.439551768990945,12.368364761055258,13.309757997849808,-0.0031065920079749684,-0.0018104816196212207,-7.41748025079665e-5
22,0.08884297520661157,0.6332786982866911,3.0425826306783916,3.3292926061609385,3.600519264430687,-0.11272315607040387,-0.0771452553440142,-0.00873267599731363
24,0.10590277777777778,0.6758378177624166,5.118181132847044,5.155527231049537,5.17828103247495,-0.007691441953285528,-0.0056224692182962124,-0.003289284334146899
49,0.10412328196584757,0.6389368895302634,3.603981642143038,5.065707044298458,13.387144989055882,-0.7297956159441426,-0.3917877059837025,-0.1226017622558408
35,0.08326530612244898,0.5917981557474661,2.60753899079896,3.7759913792967734,9.948628350126839,-0.8029841777101933,-0.41542595891943934,-0.07670470920245126
22,0.11983471074380166,0.7192322635186963,2.4227194497898545,4.377511333984417,7.425882554305359,-0.43836085316336787,-0.10269467251281184,-0.04141513068341608
39,0.09993425378040763,0.6136128851364462,3.127200900352236,4.111125821602926,10.59328756113014,-0.5444888885689644,-0.35621768142163696,-0.09168524371046477
31,0.15400624349635797,0.6440486412243328,2.5584310436547706,3.265990058337768,6.792742277207482,-0.5744867553023586,-0.31828179270566603,-0.2089638644500943
41,0.08149910767400356,0.5826290563115709,2.898637887330815,6.140486539867037,12.696941577407431,-0.8962453507464582,-0.39370341715786983,-0.19886849229922782
